match_number,team,player_name,career_ipl_matches_before_match
4,Gujarat Titans,Mohammed Siraj,108
4,Punjab Kings,YS Chahal,175
4,Punjab Kings,Priyansh Arya,18
4,Punjab Kings,P Simran Singh,52
4,Punjab Kings,C Connolly,0
4,Punjab Kings,SS Iyer,133
4,Punjab Kings,N Wadhera,37
4,Punjab Kings,Shashank Singh,42
4,Punjab Kings,MP Stoinis,110
4,Punjab Kings,M Jansen,36
4,Punjab Kings,XC Bartlett,4
4,Punjab Kings,Vijaykumar Vyshak,16
4,Punjab Kings,Arshdeep Singh,83
5,Lucknow Super Giants,MR Marsh,55
5,Lucknow Super Giants,RR Pant,125
5,Lucknow Super Giants,AK Markram,57
5,Lucknow Super Giants,A Badoni,56
5,Lucknow Super Giants,N Pooran,90
5,Lucknow Super Giants,Abdul Samad,63
5,Lucknow Super Giants,MD Choudhary,0
5,Lucknow Super Giants,Shahbaz Ahmed,58
5,Lucknow Super Giants,Mohammed Shami,119
5,Lucknow Super Giants,A Nortje,48
5,Lucknow Super Giants,Mohsin Khan,24
5,Lucknow Super Giants,Prince Yadav,6
5,Delhi Capitals,T Natarajan,64
5,Delhi Capitals,KL Rahul,146
5,Delhi Capitals,P Nissanka,0
5,Delhi Capitals,N Rana,118
5,Delhi Capitals,Sameer Rizvi,14
5,Delhi Capitals,AR Patel,163
5,Delhi Capitals,T Stubbs,33
5,Delhi Capitals,V Nigam,14
5,Delhi Capitals,DA Miller,141
5,Delhi Capitals,L Ngidi,16
5,Delhi Capitals,Kuldeep Yadav,99
5,Delhi Capitals,Mukesh Kumar,32
6,Sunrisers Hyderabad,TM Head,39
6,Sunrisers Hyderabad,Abhishek Sharma,78
6,Sunrisers Hyderabad,Ishan Kishan,120
6,Sunrisers Hyderabad,H Klaasen,50
6,Sunrisers Hyderabad,Aniket Verma,15
6,Sunrisers Hyderabad,Nithish Kumar Reddy,29
6,Sunrisers Hyderabad,S Arora,1
6,Sunrisers Hyderabad,Harsh Dubey,4
6,Sunrisers Hyderabad,Shivang Kumar,0
6,Sunrisers Hyderabad,JD Unadkat,113
6,Sunrisers Hyderabad,DA Payne,1
6,Sunrisers Hyderabad,E Malinga,8
6,Kolkata Knight Riders,FH Allen,1
6,Kolkata Knight Riders,AM Rahane,199
6,Kolkata Knight Riders,A Raghuvanshi,23
6,Kolkata Knight Riders,C Green,30
6,Kolkata Knight Riders,RK Singh,59
6,Kolkata Knight Riders,AS Roy,12
6,Kolkata Knight Riders,Ramandeep Singh,31
6,Kolkata Knight Riders,SP Narine,189
6,Kolkata Knight Riders,Kartik Tyagi,21
6,Kolkata Knight Riders,VG Arora,33
6,Kolkata Knight Riders,CV Varun,84
6,Kolkata Knight Riders,B Muzarabani,1
7,Chennai Super Kings,RD Chahar,79
7,Chennai Super Kings,SV Samson,177
7,Chennai Super Kings,RD Gaikwad,72
7,Chennai Super Kings,A Mhatre,8
7,Chennai Super Kings,S Dube,80
7,Chennai Super Kings,Kartik Sharma,1
7,Chennai Super Kings,SN Khan,51
7,Chennai Super Kings,PR Veer,0
7,Chennai Super Kings,Noor Ahmad,38
7,Chennai Super Kings,A Kamboj,12
7,Chennai Super Kings,MJ Henry,7
7,Chennai Super Kings,KK Ahmed,72
7,Punjab Kings,YS Chahal,176
7,Punjab Kings,Priyansh Arya,19
7,Punjab Kings,P Simran Singh,53
7,Punjab Kings,C Connolly,1
7,Punjab Kings,SS Iyer,134
7,Punjab Kings,N Wadhera,38
7,Punjab Kings,Shashank Singh,43
7,Punjab Kings,MP Stoinis,111
7,Punjab Kings,M Jansen,37
7,Punjab Kings,XC Bartlett,5
7,Punjab Kings,Vijaykumar Vyshak,17
7,Punjab Kings,Arshdeep Singh,84
8,Mumbai Indians,M Markande,38
8,Mumbai Indians,RD Rickelton,15
8,Mumbai Indians,RG Sharma,273
8,Mumbai Indians,Tilak Varma,55
8,Mumbai Indians,SA Yadav,167
8,Mumbai Indians,SE Rutherford,24
8,Mumbai Indians,Naman Dhir,24
8,Mumbai Indians,MJ Santner,31
8,Mumbai Indians,C Bosch,3
8,Mumbai Indians,SN Thakur,106
8,Mumbai Indians,DL Chahar,95
8,Mumbai Indians,JJ Bumrah,146
8,Delhi Capitals,Mukesh Kumar,33
8,Delhi Capitals,KL Rahul,147
8,Delhi Capitals,P Nissanka,1
8,Delhi Capitals,N Rana,119
8,Delhi Capitals,Sameer Rizvi,15
8,Delhi Capitals,DA Miller,142
8,Delhi Capitals,T Stubbs,34
8,Delhi Capitals,V Nigam,15
8,Delhi Capitals,AR Patel,164
8,Delhi Capitals,Kuldeep Yadav,100
8,Delhi Capitals,L Ngidi,17
8,Delhi Capitals,T Natarajan,65
9,Rajasthan Royals,Ravi Bishnoi,78
9,Rajasthan Royals,YBK Jaiswal,67
