match_number,team,total_player_experience,average_player_experience
1,Sunrisers Hyderabad,565,47.08
1,Royal Challengers Bengaluru,898,74.83
2,Kolkata Knight Riders,671,55.92
2,Mumbai Indians,1110,92.5
3,Chennai Super Kings,517,43.08
3,Rajasthan Royals,1001,83.42
4,Gujarat Titans,910,75.83
4,Punjab Kings,706,58.83
5,Lucknow Super Giants,701,58.42
5,Delhi Capitals,840,70.0
6,Sunrisers Hyderabad,458,38.17
6,Kolkata Knight Riders,683,56.92
7,Chennai Super Kings,597,49.75
7,Punjab Kings,718,59.83
8,Mumbai Indians,977,81.42
8,Delhi Capitals,852,71.0
9,Rajasthan Royals,865,72.08
9,Gujarat Titans,807,67.25
10,Sunrisers Hyderabad,634,52.83
10,Lucknow Super Giants,673,56.08
11,Royal Challengers Bengaluru,910,75.83
11,Chennai Super Kings,533,44.42
12,Kolkata Knight Riders,703,58.58
12,Punjab Kings,739,61.58
13,Rajasthan Royals,877,73.08
13,Mumbai Indians,1188,99.0
14,Gujarat Titans,933,77.75
14,Delhi Capitals,864,72.0
15,Kolkata Knight Riders,678,56.5
15,Lucknow Super Giants,685,57.08
16,Royal Challengers Bengaluru,991,82.58
16,Rajasthan Royals,842,70.17
17,Sunrisers Hyderabad,598,49.83
17,Punjab Kings,741,61.75
18,Chennai Super Kings,548,45.67
18,Delhi Capitals,762,63.5
19,Lucknow Super Giants,690,57.5
19,Gujarat Titans,945,78.75
20,Royal Challengers Bengaluru,942,78.5
20,Mumbai Indians,1172,97.67
21,Sunrisers Hyderabad,373,31.08
21,Rajasthan Royals,810,67.5
22,Chennai Super Kings,560,46.67
22,Kolkata Knight Riders,742,61.83
23,Lucknow Super Giants,702,58.5
23,Royal Challengers Bengaluru,991,82.58
24,Mumbai Indians,927,77.25
24,Punjab Kings,742,61.83
25,Kolkata Knight Riders,752,62.67
25,Gujarat Titans,957,79.75
26,Royal Challengers Bengaluru,1003,83.58
26,Delhi Capitals,833,69.42
27,Sunrisers Hyderabad,427,35.58
27,Chennai Super Kings,516,43.0
28,Rajasthan Royals,723,60.25
28,Kolkata Knight Riders,764,63.67
29,Punjab Kings,764,63.67
29,Lucknow Super Giants,662,55.17
30,Mumbai Indians,750,62.5
30,Gujarat Titans,969,80.75
31,Sunrisers Hyderabad,394,32.83
31,Delhi Capitals,904,75.33
32,Rajasthan Royals,747,62.25
32,Lucknow Super Giants,609,50.75
33,Chennai Super Kings,513,42.75
33,Mumbai Indians,721,60.08
34,Gujarat Titans,1008,84.0
34,Royal Challengers Bengaluru,977,81.42
35,Delhi Capitals,871,72.58
35,Punjab Kings,776,64.67
36,Rajasthan Royals,794,66.17
36,Sunrisers Hyderabad,470,39.17
37,Chennai Super Kings,510,42.5
37,Gujarat Titans,867,72.25
38,Kolkata Knight Riders,776,64.67
38,Lucknow Super Giants,616,51.33
39,Delhi Capitals,897,74.75
39,Royal Challengers Bengaluru,989,82.42
40,Punjab Kings,808,67.33
40,Rajasthan Royals,596,49.67
41,Mumbai Indians,861,71.75
41,Sunrisers Hyderabad,484,40.33
42,Royal Challengers Bengaluru,1045,87.08
42,Gujarat Titans,976,81.33
43,Rajasthan Royals,737,61.42
43,Delhi Capitals,856,71.33
44,Mumbai Indians,754,62.83
44,Chennai Super Kings,474,39.5
45,Sunrisers Hyderabad,573,47.75
45,Kolkata Knight Riders,923,76.92
46,Punjab Kings,754,62.83
46,Gujarat Titans,924,77.0
47,Lucknow Super Giants,634,52.83
47,Mumbai Indians,858,71.5
48,Delhi Capitals,894,74.5
48,Chennai Super Kings,612,51.0
49,Sunrisers Hyderabad,486,40.5
49,Punjab Kings,808,67.33
50,Lucknow Super Giants,601,50.08
50,Royal Challengers Bengaluru,1012,84.33
51,Delhi Capitals,802,66.83
51,Kolkata Knight Riders,935,77.92
52,Gujarat Titans,956,79.67
52,Rajasthan Royals,654,54.5
53,Lucknow Super Giants,696,58.0
53,Chennai Super Kings,500,41.67
54,Mumbai Indians,870,72.5
54,Royal Challengers Bengaluru,1024,85.33
55,Punjab Kings,765,63.75
55,Delhi Capitals,711,59.25
56,Gujarat Titans,1015,84.58
56,Sunrisers Hyderabad,491,40.92
57,Kolkata Knight Riders,856,71.33
57,Royal Challengers Bengaluru,1036,86.33
58,Punjab Kings,668,55.67
58,Mumbai Indians,838,69.83
59,Chennai Super Kings,507,42.25
59,Lucknow Super Giants,687,57.25
60,Kolkata Knight Riders,911,75.92
60,Gujarat Titans,979,81.58
61,Royal Challengers Bengaluru,1056,88.0
61,Punjab Kings,834,69.5
62,Rajasthan Royals,359,29.92
62,Delhi Capitals,719,59.92
63,Chennai Super Kings,519,43.25
63,Sunrisers Hyderabad,503,41.92
64,Lucknow Super Giants,604,50.33
64,Rajasthan Royals,407,33.92
65,Mumbai Indians,1044,87.0
65,Kolkata Knight Riders,925,77.08
66,Gujarat Titans,1038,86.5
66,Chennai Super Kings,532,44.33
67,Sunrisers Hyderabad,631,52.58
67,Royal Challengers Bengaluru,1113,92.75
68,Lucknow Super Giants,611,50.92
68,Punjab Kings,816,68.0
69,Rajasthan Royals,647,53.92
69,Mumbai Indians,1012,84.33
70,Delhi Capitals,803,66.92
70,Kolkata Knight Riders,904,75.33
71,Royal Challengers Bengaluru,1090,90.83
71,Gujarat Titans,1033,86.08
72,Rajasthan Royals,640,53.33
72,Sunrisers Hyderabad,513,42.75
73,Gujarat Titans,1063,88.58
73,Rajasthan Royals,652,54.33
74,Royal Challengers Bengaluru,1102,91.83
74,Gujarat Titans,1072,89.33
