match_number,team1,team2,team1_total_experience,team2_total_experience,team1_average_experience,team2_average_experience,experience_difference,winner,winner_experience_status
63,Chennai Super Kings,Sunrisers Hyderabad,519,503,43.25,41.92,1.33,Sunrisers Hyderabad,Less
64,Lucknow Super Giants,Rajasthan Royals,604,407,50.33,33.92,16.42,Rajasthan Royals,Less
65,Mumbai Indians,Kolkata Knight Riders,1044,925,87,77.08,9.92,Kolkata Knight Riders,Less
66,Gujarat Titans,Chennai Super Kings,1038,532,86.5,44.33,42.17,Gujarat Titans,More
67,Sunrisers Hyderabad,Royal Challengers Bengaluru,631,1113,52.58,92.75,40.17,Sunrisers Hyderabad,Less
68,Lucknow Super Giants,Punjab Kings,611,816,50.92,68,17.08,Punjab Kings,More
69,Rajasthan Royals,Mumbai Indians,647,1012,53.92,84.33,30.42,Rajasthan Royals,Less
70,Delhi Capitals,Kolkata Knight Riders,803,904,66.92,75.33,8.42,Delhi Capitals,Less
71,Royal Challengers Bengaluru,Gujarat Titans,1090,1033,90.83,86.08,4.75,Royal Challengers Bengaluru,More
72,Rajasthan Royals,Sunrisers Hyderabad,640,513,53.33,42.75,10.58,Rajasthan Royals,More
73,Gujarat Titans,Rajasthan Royals,1063,652,88.58,54.33,34.25,Gujarat Titans,More
74,Royal Challengers Bengaluru,Gujarat Titans,1102,1072,91.83,89.33,2.5,Royal Challengers Bengaluru,More
